Year,Activity,GDP_category,Energy intensity,Change in energy,Energy
2017,1.0,1.0,1.0,1.0,70229.23587930897
2018,1.0328086287589517,0.9997996096039516,1.0045979281344115,1.0373494920705497,72852.262167904
2019,1.0387321953778617,1.0052097978905532,1.00601772153595,1.0504271466907964,73770.69585897741
2020,1.0365224111550173,0.9956971475648431,1.007284370216406,1.0395803328416604,73008.9324106275
2021,1.0832780777858022,0.9986157226162082,1.0143776926350192,1.0973319995084527,77064.78783139287
2022,1.1007791760027692,0.9980378456388349,1.011186669910146,1.1109091685544432,78018.30203889699
2023,1.102551202607468,1.0025795549425842,1.0085587951402322,1.1148561458820285,78295.49524064628
2024,1.0974652690703395,1.008163567088934,1.0053106379211396,1.1123003203309891,78116.00156515598
2025,1.0933403004256286,1.0115967378123314,1.0023671563357581,1.1086376022517839,77858.77167321205
2026,1.0944133799177227,1.0147127941785747,0.998937806367246,1.1093356764858393,77907.79689325679
2027,1.0952384669251867,1.0181377353219503,0.9956153628275665,1.1102142876028578,77969.50108064007
2028,1.0904499987013483,1.0210851297267465,0.993020424736343,1.1056709242007754,77650.4241405898
2029,1.0899495106362966,1.021964774592849,0.989619518872243,1.1023272917697968,77415.60338990088
2030,1.0902178648160217,1.0226722728051953,0.9872464941875033,1.1007162442429148,77302.46075312274
2031,1.0902771239411095,1.0246962603533212,0.9852851790084522,1.1007634510893416,77305.77605387555
2032,1.0897901410535062,1.0262693987861633,0.9835471285293718,1.1000170807682692,77253.35903654364
2033,1.0898433857356713,1.027628474631185,0.9818427998926977,1.0996188654370904,77225.39267811955
2034,1.090112091852356,1.028718975877233,0.9801600871250806,1.0991701395701847,77193.87900336746
2035,1.0894778403054373,1.0294442850619658,0.978232912778122,1.097143713098492,77051.56462069487
2036,1.0904066744615881,1.0301150308202378,0.9768692960191104,1.0972628735508065,77059.93316820796
2037,1.0914664204293065,1.0305315921237233,0.9756126458385228,1.0973599605921782,77066.7515169373
2038,1.0918579845758527,1.0305440583305945,0.9738926936809168,1.0958316149205063,76959.4169682563
2039,1.0932694253782844,1.030350176089236,0.9726844356399124,1.095680718055528,76948.8195967323
2040,1.0947487909131088,1.0297861291497428,0.9712989472173911,1.0950007835859494,76901.06831848579
2041,1.0959161140922125,1.029524205745494,0.9698212161168773,1.0942222850375176,76846.39496029628
2042,1.0988489747760712,1.0284965815203932,0.9689538262160495,1.0950751954501425,76906.29420684844
2043,1.10182541434578,1.0271030190908739,0.968220683684645,1.0957239320028256,76951.85447923033
2044,1.1031434072353379,1.025737376767288,0.9671675541558516,1.0943843491823328,76857.77660135008
2045,1.1060483966968073,1.0237988818269268,0.966508156404675,1.0944459156168995,76862.10036500552
2046,1.1092304487263496,1.0224600645275397,0.9665320591747197,1.0961863773840037,76984.3316649864
2047,1.1107957376115782,1.0210822343264165,0.9661503541537747,1.0958210584120496,76958.67559273384
2048,1.1141285197645305,1.0191944829346293,0.9660270929996496,1.0969369413135812,77037.04319623919
2049,1.117444263638513,1.017063759183839,0.9659320607495168,1.0977934395193896,77097.1944107651
2050,1.1191754772839206,1.0148555319618353,0.9655078209460599,1.096625158258951,77015.1469105524
