Year,Activity,Engine type,Energy intensity,Change in energy,Energy
2018,1.0,1.0,1.0,1.0,31487.460751960578
2019,1.0166445944529443,0.9950511331318949,1.0102307550116343,1.021962924111511,32179.017462920063
2020,0.8849878073849065,0.9859211163831965,0.9981728573810732,0.8709339336422287,27423.49805311031
2021,1.020733719354556,0.9868467836161992,0.9921211709251931,0.9993713819872672,31467.66716695668
2022,1.0764146425800074,0.9855985868359768,0.9813625963789047,1.0411400914371498,32782.85776641991
2023,1.0998786075651805,0.9823410838836434,0.9545163145952194,1.0313128252683161,32473.422108629686
2024,1.1208821292337172,0.9765526018783796,0.9317641231147389,1.0199093443189657,32114.35544980128
2025,1.1411870957005628,0.9663921651509636,0.9116083077492444,1.0053528810131016,31656.009382770535
2026,1.1485151112384788,0.952354631162066,0.897230176125684,0.9813847007701265,30901.312248073933
2027,1.1613701669378602,0.9317683494382474,0.8846232810244034,0.9572755895901573,30142.17755603
2028,1.1730769865230048,0.9059141389128638,0.8749173838447325,0.9297808528400873,29276.438111726682
2029,1.1843457606852485,0.8770806023009818,0.8672206616309267,0.9008399388828688,28365.162219372898
2030,1.1939830897898176,0.8477179973616955,0.8609550426672783,0.8714250771309002,27438.962914433443
2031,1.2019978748450473,0.8189392257767262,0.8557454487049055,0.8423643359836112,26523.91396813529
2032,1.2097173012368665,0.791129796482364,0.851475536364106,0.8148990443215742,25659.10167488575
2033,1.2157384168447327,0.7643744973411796,0.8481590899101402,0.7881768051832058,24817.68621881187
2034,1.2211364478226705,0.7380722544881624,0.8460175757310067,0.7625045844721562,24009.333176757027
2035,1.225875215568629,0.7119432939297782,0.8452293151359435,0.7376769605057469,23227.57434155028
2036,1.229375348886168,0.6857473561187752,0.8461354894546855,0.7133268204703047,22460.850262879554
2037,1.2319285978007333,0.661767401060203,0.8469976011176152,0.6905149522408959,21742.56245732714
2038,1.2338776732271322,0.6397639073053866,0.8477984905603251,0.6692439907363859,21072.793891797413
2039,1.2351770488117386,0.6194904352101711,0.848556023924423,0.6492984102562847,20444.758209255157
2040,1.2358728203156795,0.600804681313265,0.8493706973484227,0.6306731809034933,19858.29703101288
2041,1.2363064795790706,0.583509722437966,0.8501883385679766,0.613323189985139,19311.989872924325
2042,1.2359359648489603,0.5674522492381371,0.8511361707135808,0.5969312825746599,18795.85033168709
2043,1.2353167523717512,0.5524908680045812,0.8523207729131412,0.5817099714173513,18316.569894027958
2044,1.2345533451638497,0.5385253616273264,0.8536251753772518,0.5675226990413272,17869.848711910527
2045,1.2332091114373784,0.5254010655921723,0.855263835142879,0.5541505675072113,17448.794245059995
2046,1.2319397714512363,0.5130104721864229,0.8572370203279935,0.5417720856799858,17059.027284356376
2047,1.2306027725953,0.501260502821824,0.8595582366732957,0.5302207026849356,16695.30356566887
2048,1.2291113153873716,0.4900713676221411,0.8622660045724101,0.5193878794137153,16354.205468083395
2049,1.2274400591032668,0.4793798931381274,0.8653894359897003,0.5092038710404749,16033.536904133349
2050,1.2258953298031434,0.4691065433432103,0.8689752871254509,0.4997264156882856,15735.11590070283
